Team name;Won games as home team;Won games as visitor team;Lost games as home team;Lost games as visitor team
Atlanta Hawks (ATL);3;3;8;11
Boston Celtics (BOS);10;8;1;6
Brooklyn Nets (BKN);7;6;5;7
Charlotte Hornets (CHA);5;4;8;8
Chicago Bulls (CHI);4;4;9;8
Cleveland Cavaliers (CLE);3;3;10;9
Dallas Mavericks (DAL);8;9;6;2
Denver Nuggets (DEN);11;6;3;5
Detroit Pistons (DET);7;3;6;9
Golden State Warriors (GSW);2;3;8;12
Houston Rockets (HOU);9;8;3;5
Indiana Pacers (IND);10;6;3;6
LA Clippers (LAC);13;5;1;6
Los Angeles Lakers (LAL);10;12;2;1
Memphis Grizzlies (MEM);3;5;11;6
Miami Heat (MIA);11;7;1;6
Milwaukee Bucks (MIL);12;10;1;2
Minnesota Timberwolves (MIN);2;7;10;6
New Orleans Pelicans (NOP);4;2;9;10
New York Knicks (NYK);3;2;10;10
Oklahoma City Thunder (OKC);7;4;5;9
Orlando Magic (ORL);8;3;6;8
Philadelphia 76ers (PHI);13;5;0;7
Phoenix Suns (PHX);6;5;9;5
Portland Trail Blazers (POR);5;5;6;9
Sacramento Kings (SAC);6;5;5;9
San Antonio Spurs (SAS);7;4;7;7
Toronto Raptors (TOR);10;7;3;5
Utah Jazz (UTA);9;5;3;8
Washington Wizards (WAS);4;4;6;11
